Diagnostics/NewCompletedTrajs,Diagnostics/StepsInTrajWindow,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,Length/Average,Length/Std,Length/Median,Length/Min,Length/Max,Return/Average,Return/Std,Return/Median,Return/Min,Return/Max,NonzeroRewards/Average,NonzeroRewards/Std,NonzeroRewards/Median,NonzeroRewards/Min,NonzeroRewards/Max,DiscountedReturn/Average,DiscountedReturn/Std,DiscountedReturn/Median,DiscountedReturn/Min,DiscountedReturn/Max,GameScore/Average,GameScore/Std,GameScore/Median,GameScore/Min,GameScore/Max,loss/Average,loss/Std,loss/Median,loss/Min,loss/Max,grad_norm_model/Average,grad_norm_model/Std,grad_norm_model/Median,grad_norm_model/Min,grad_norm_model/Max,grad_norm_actor/Average,grad_norm_actor/Std,grad_norm_actor/Median,grad_norm_actor/Min,grad_norm_actor/Max,grad_norm_value/Average,grad_norm_value/Std,grad_norm_value/Median,grad_norm_value/Min,grad_norm_value/Max,model_loss/Average,model_loss/Std,model_loss/Median,model_loss/Min,model_loss/Max,actor_loss/Average,actor_loss/Std,actor_loss/Median,actor_loss/Min,actor_loss/Max,value_loss/Average,value_loss/Std,value_loss/Median,value_loss/Min,value_loss/Max,prior_entropy/Average,prior_entropy/Std,prior_entropy/Median,prior_entropy/Min,prior_entropy/Max,post_entropy/Average,post_entropy/Std,post_entropy/Median,post_entropy/Min,post_entropy/Max,divergence/Average,divergence/Std,divergence/Median,divergence/Min,divergence/Max,reward_loss/Average,reward_loss/Std,reward_loss/Median,reward_loss/Min,reward_loss/Max,image_loss/Average,image_loss/Std,image_loss/Median,image_loss/Min,image_loss/Max,pcont_loss/Average,pcont_loss/Std,pcont_loss/Median,pcont_loss/Min,pcont_loss/Max
3,871,999,5.900402069091797,1000,3,0,169.47997582034645,0.0,0.0,0.0,290.3333333333333,77.99287716765478,322.0,183,366,105.0,29.698484809834994,84.0,84.0,147.0,5.0,1.4142135623730951,4.0,4,7,34.7981010127083,2.147213703509754,35.62507202974657,31.854224381152232,36.915006627226106,105.0,29.698484809834994,84.0,84.0,147.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,1803,1999,9.944082736968994,2000,7,0,247.29944872846943,0.0,0.0,0.0,257.57142857142856,76.9152727595337,263.0,121,366,87.0,30.59411708155671,84.0,42.0,147.0,4.142857142857143,1.4568627181693672,4.0,2,7,36.641992366026834,7.262012356945929,35.113323262990306,29.171676025318984,53.431341490227986,87.0,30.59411708155671,84.0,42.0,147.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,2995,2999,14.106937408447266,3000,12,0,240.2197719875938,0.0,0.0,0.0,249.58333333333334,71.6350220833978,260.0,121,366,87.5,42.72294465506796,84.0,0.0,147.0,4.166666666666667,2.034425935955617,4.0,0,7,34.96676767355982,13.013903713088723,35.08021562301348,0.0,54.14152246541073,87.5,42.72294465506796,84.0,0.0,147.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,3685,3999,17.904451847076416,4000,14,0,263.3301376889527,0.0,0.0,0.0,263.2142857142857,74.59814108314781,262.0,121,366,90.0,40.024992192379,84.0,0.0,147.0,4.285714285714286,1.9059520091609048,4.0,0,7,33.34498205656537,13.072113487404863,34.715205364281175,0.0,54.14152246541073,90.0,40.024992192379,84.0,0.0,147.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,4971,4999,22.045746088027954,5000,18,0,241.47040558273196,0.0,0.0,0.0,276.1666666666667,73.92131702770935,278.0,121,395,86.33333333333333,37.6238694920599,84.0,0.0,147.0,4.111111111111111,1.7916128329552332,4.0,0,7,30.265859200649523,13.35003137061025,32.07766388342514,0.0,54.14152246541073,86.33333333333333,37.6238694920599,84.0,0.0,147.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,5838,5999,147.07725381851196,6000,21,0,7.997984013402323,0.0,0.0,0.0,278.0,68.86148968694158,293.0,121,395,83.0,38.05259518088089,84.0,0.0,147.0,3.9523809523809526,1.8120283419467094,4.0,0,7,29.638672825496148,13.613059186462529,31.952313533014056,0.0,54.14152246541073,83.0,38.05259518088089,84.0,0.0,147.0,11516.6525,297.89622221449144,11401.10693359375,11331.3359375,12737.37890625,1290.2810635375977,997.7579980600419,1048.6973266601562,79.33892822265625,4984.08837890625,0.10270363975374494,0.0621962595127756,0.10487737134099007,0.0008836975903250277,0.20716969668865204,5.6185153808631005,4.015924453972416,4.2296507358551025,0.015381867066025734,19.63114356994629,11517.55830078125,297.3105223154526,11401.29345703125,11335.18359375,12737.177734375,-2.804812409249134,1.6373196015512728,-2.5549793243408203,-7.110970497131348,-0.0077783395536243916,1.8990348500013352,0.7330821583600856,1.9387643933296204,0.20938332378864288,3.707960844039917,30.398102912902832,6.424909618839702,28.43257713317871,16.681669235229492,39.011775970458984,26.675850591659547,8.056254118572966,24.545942306518555,11.459572792053223,39.94275665283203,4.082962050437927,1.1636313094391697,3.84110164642334,3.0,9.027106285095215,4.129228553771973,0.37004545207908834,4.059382915496826,3.2745485305786133,5.088332653045654,11512.352646484374,296.07858757880024,11396.5107421875,11330.568359375,12725.744140625,0.06681175163015723,0.1280362866354651,0.02671822067350149,0.014023695141077042,0.6692696809768677
4,6923,6999,267.4564456939697,7000,25,0,8.307083511862936,0.0,0.0,0.0,276.92,63.361136353446184,266.0,121,395,80.64,37.41537651821774,84.0,0.0,147.0,3.84,1.7816845961056071,4.0,0,7,28.614301119760654,13.567681846073556,31.952313533014056,0.0,54.14152246541073,80.64,37.41537651821774,84.0,0.0,147.0,11321.9068359375,15.534854090962762,11322.04736328125,11289.513671875,11366.3876953125,547.7722318649292,386.0571293068252,532.3669738769531,42.8092041015625,1739.3443603515625,0.035283779120072724,0.013163006278934119,0.03334682434797287,0.011017082259058952,0.0839242935180664,34.79324954509735,18.36628349834115,32.55371856689453,1.7296409606933594,78.79157257080078,11336.55201171875,10.932982676257934,11334.13671875,11319.322265625,11372.658203125,-17.591075801849364,8.107110100851486,-16.45845603942871,-37.3427734375,-6.898871898651123,2.9458902180194855,0.7878034775202959,2.7945927381515503,1.6120333671569824,4.5583696365356445,14.338551788330077,1.8181995281663361,14.17870569229126,10.669523239135742,18.627674102783203,9.934870400428771,1.6584245063044125,9.691253662109375,6.366819381713867,14.433812141418457,4.081780526638031,0.8376325168343882,4.02178955078125,3.0,7.125138759613037,4.050344650745392,0.3953992380777886,4.042657375335693,3.2724609375,4.998136520385742,11331.863759765625,10.945852851676504,11329.47265625,11314.8955078125,11367.7490234375,0.022969401935115458,0.0061239145972024666,0.023649100214242935,0.01159023866057396,0.03615350276231766
4,7869,7999,388.2429287433624,8000,29,0,8.279072084506959,0.0,0.0,0.0,271.3448275862069,65.3232154233557,265.0,121,395,76.03448275862068,38.37247824680375,84.0,0.0,147.0,3.6206896551724137,1.8272608688954168,4.0,0,7,26.602398484687697,14.146894676316206,30.19006830472263,0.0,54.14152246541073,76.03448275862068,38.37247824680375,84.0,0.0,147.0,11277.0805078125,15.615251439684428,11275.083984375,11251.177734375,11323.595703125,513.8402374076843,353.7438371485883,454.5170440673828,20.587560653686523,1586.805419921875,0.010515569988638163,0.0026282817521638335,0.0102061009965837,0.00532569270581007,0.016885334625840187,60.67698538303375,28.932308222403623,64.76717948913574,7.635557651519775,123.47627258300781,11330.001318359375,10.276701442782057,11327.22607421875,11317.1083984375,11364.19921875,-58.83236179351807,10.106199744069476,-57.70608329772949,-76.504150390625,-38.60226821899414,5.91155709028244,1.0581335715403228,5.749475955963135,3.7686567306518555,8.938888549804688,13.427326698303222,1.4111414999173189,13.88945484161377,9.385695457458496,15.77803897857666,9.349964618682861,1.314170460242305,9.556847095489502,5.257300853729248,11.050827980041504,3.7239043164253234,0.7175472458958235,3.574071764945984,3.0,5.727493762969971,3.9182275915145874,0.3904284290569361,3.875116229057312,2.928337335586548,4.904349327087402,11325.4740625,10.276650144811418,11323.2900390625,11312.8232421875,11359.6474609375,0.02366348896175623,0.005834108196595209,0.021770513616502285,0.012163436971604824,0.040241140872240067
4,8983,8999,510.931693315506,9000,33,0,8.150705596289374,0.0,0.0,0.0,272.2121212121212,61.5544880946253,266.0,121,395,75.72727272727273,36.534145694855006,84.0,0.0,147.0,3.606060606060606,1.739721223564524,4.0,0,7,26.43175868055361,13.425642503917357,29.490793058150988,0.0,54.14152246541073,75.72727272727273,36.534145694855006,84.0,0.0,147.0,11250.0342578125,7.816436816541698,11250.28759765625,11230.634765625,11274.9248046875,307.3840398025513,210.76134643167018,298.6253204345703,21.311147689819336,1023.6640014648438,0.0064820742909796536,0.001560175399784763,0.00678092404268682,0.003394820261746645,0.009432771243155003,58.92928736209869,42.145166870987715,54.936485290527344,6.520881175994873,197.05844116210938,11324.71037109375,5.414503438025731,11323.529296875,11314.9755859375,11346.0791015625,-80.54709075927734,4.271297064786067,-78.91307830810547,-90.61731719970703,-75.12763977050781,5.870945651531219,0.9183949646719333,5.7192933559417725,3.978346109390259,8.165651321411133,12.795516438484192,1.9487309356321798,13.158720970153809,6.65896463394165,15.790763854980469,9.324551439285278,1.6691196760784532,9.737996101379395,5.245076656341553,11.731476783752441,3.361056683063507,0.47191380528300625,3.1352906227111816,3.0,4.997982501983643,3.819685523509979,0.3620702532267582,3.7901499271392822,2.766252279281616,4.810745716094971,11320.3103515625,5.351281732698134,11319.09326171875,11310.7412109375,11341.6298828125,0.02442923203110695,0.005881171099989634,0.024679215624928474,0.011520430445671082,0.0426248237490654
3,9782,9999,631.7769460678101,10000,36,0,8.275045789756385,0.0,0.0,0.0,271.72222222222223,59.2370994446663,265.5,121,395,72.33333333333333,36.856327664173065,84.0,0.0,147.0,3.4444444444444446,1.7550632221034794,4.0,0,7,25.50967184670661,13.469774223370866,28.599417186016595,0.0,54.14152246541073,72.33333333333333,36.856327664173065,84.0,0.0,147.0,11234.636943359375,6.094411800900522,11234.419921875,11223.318359375,11252.7783203125,262.29670843124387,169.83405618556412,249.56446075439453,18.69924545288086,855.8178100585938,0.0033236018707975745,0.001267433252254217,0.0036362113896757364,0.0014901479007676244,0.007737732958048582,35.28419302940369,25.361299920808424,28.781999588012695,3.784505844116211,134.6038818359375,11322.6505078125,3.8442399676402212,11322.068359375,11316.0810546875,11337.4326171875,-92.11029067993164,3.73588093839185,-90.51720809936523,-100.08057403564453,-87.05329895019531,4.096711328029633,0.8675684906971934,4.048372507095337,2.775162935256958,7.213730812072754,8.412431297302247,1.3344068954283257,8.353238105773926,6.161902904510498,11.782095909118652,4.884733417034149,0.903833866065024,5.112677812576294,3.0333967208862305,6.435002326965332,3.2976689767837524,0.618050732029179,3.0126214027404785,3.0,7.201421737670898,3.7652418398857117,0.4175148208143227,3.785589098930359,2.9310338497161865,4.639850616455078,11318.3145703125,3.812140264030058,11317.9375,11311.685546875,11332.3916015625,0.024080914361402393,0.0057913204851546855,0.023742577992379665,0.009869697503745556,0.042370088398456573
