Diagnostics/NewCompletedTrajs,Diagnostics/StepsInTrajWindow,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,Length/Average,Length/Std,Length/Median,Length/Min,Length/Max,Return/Average,Return/Std,Return/Median,Return/Min,Return/Max,NonzeroRewards/Average,NonzeroRewards/Std,NonzeroRewards/Median,NonzeroRewards/Min,NonzeroRewards/Max,DiscountedReturn/Average,DiscountedReturn/Std,DiscountedReturn/Median,DiscountedReturn/Min,DiscountedReturn/Max,loss/Average,loss/Std,loss/Median,loss/Min,loss/Max,grad_norm_model/Average,grad_norm_model/Std,grad_norm_model/Median,grad_norm_model/Min,grad_norm_model/Max,grad_norm_actor/Average,grad_norm_actor/Std,grad_norm_actor/Median,grad_norm_actor/Min,grad_norm_actor/Max,grad_norm_value/Average,grad_norm_value/Std,grad_norm_value/Median,grad_norm_value/Min,grad_norm_value/Max,model_loss/Average,model_loss/Std,model_loss/Median,model_loss/Min,model_loss/Max,actor_loss/Average,actor_loss/Std,actor_loss/Median,actor_loss/Min,actor_loss/Max,value_loss/Average,value_loss/Std,value_loss/Median,value_loss/Min,value_loss/Max,prior_entropy/Average,prior_entropy/Std,prior_entropy/Median,prior_entropy/Min,prior_entropy/Max,post_entropy/Average,post_entropy/Std,post_entropy/Median,post_entropy/Min,post_entropy/Max,divergence/Average,divergence/Std,divergence/Median,divergence/Min,divergence/Max,reward_loss/Average,reward_loss/Std,reward_loss/Median,reward_loss/Min,reward_loss/Max,image_loss/Average,image_loss/Std,image_loss/Median,image_loss/Min,image_loss/Max,pcont_loss/Average,pcont_loss/Std,pcont_loss/Median,pcont_loss/Min,pcont_loss/Max
2,1000,999,8.179028034210205,1000,2,0,122.26391642348288,0.0,0.0,0.0,500.0,0.0,500.0,500,500,208.17920163410002,25.48255334887733,208.17920163410002,182.6966482852227,233.66175498297736,500.0,0.0,500.0,500,500,77.01946163727129,1.9548953237477917,77.01946163727129,75.0645663135235,78.97435696101908,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,2000,1999,17.263920068740845,2000,4,0,110.0728546029071,0.0,0.0,0.0,500.0,0.0,500.0,500,500,222.23470226277354,23.224125208801187,232.0500063465816,182.6966482852227,242.14214807270832,500.0,0.0,500.0,500,500,71.4804152078063,10.363484372427568,76.6189288410346,53.70944618813694,78.97435696101908,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,3000,2999,24.990401029586792,3000,6,0,129.42502609758753,0.0,0.0,0.0,500.0,0.0,500.0,500,500,211.99560826397988,25.166305090564688,217.91099261433135,177.65111301430835,242.14214807270832,500.0,0.0,500.0,500,500,69.7872749985625,10.613196212989733,75.87855158148368,53.70944618813694,78.97435696101908,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,4000,3999,32.61056637763977,4000,8,0,131.230748195708,0.0,0.0,0.0,500.0,0.0,500.0,500,500,206.9504470148698,43.559443335212954,217.91099261433135,118.43766531642868,265.19226121865046,500.0,0.0,500.0,500,500,69.88227343122568,9.20216532022964,73.03163627563353,53.70944618813694,78.97435696101908,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,5000,4999,40.187771797180176,5000,10,0,131.97477759031838,0.0,0.0,0.0,500.0,0.0,500.0,500,500,212.1664354594001,40.33617983100783,231.18525766881933,118.43766531642868,265.19226121865046,500.0,0.0,500.0,500,500,68.23512800492112,9.24451680953306,70.16726872921524,53.70944618813694,78.97435696101908,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,6000,5999,164.73841905593872,6000,12,0,8.028862330377644,0.0,0.0,0.0,500.0,0.0,500.0,500,500,208.750603444622,38.34347342356148,220.22351262534966,118.43766531642868,265.19226121865046,500.0,0.0,500.0,500,500,68.58698378407668,8.979151584986335,70.16726872921524,53.70944618813694,78.97435696101908,11364.117158203126,119.54513828482071,11313.22021484375,11303.75,11929.6572265625,374.07565848350526,800.2003812556936,111.63748168945312,7.447181701660156,6566.92431640625,0.011983628504094668,0.007956151681189178,0.010701569728553295,0.0003935291606467217,0.032541997730731964,4.444445005357266,2.003246612309144,3.7973580360412598,0.23881983757019043,9.03286075592041,11363.896240234375,119.1784914555082,11312.69189453125,11304.59765625,11927.9326171875,-2.525541267991066,0.8548706762268413,-2.3723148107528687,-4.327761650085449,0.17929717898368835,2.7464847248792648,0.48813306642453763,2.751431703567505,0.9024996757507324,3.8892364501953125,36.65651905059814,0.3017989763209225,36.677879333496094,35.56379318237305,37.063995361328125,35.165348815917966,1.3414462131237714,35.22506332397461,33.19602966308594,40.100868225097656,3.121197018623352,0.9509942223651203,3.0,3.0,12.2969388961792,1.0091749787330628,0.01771995962354316,1.0073254108428955,0.9783249497413635,1.1150891780853271,11362.574951171875,119.1183456082082,11311.38720703125,11303.302734375,11925.65234375,0.0,0.0,0.0,0.0,0.0
2,7000,6999,289.8740804195404,7000,14,0,7.991327085364898,0.0,0.0,0.0,500.0,0.0,500.0,500,500,199.6965382761438,41.860530658375545,207.6962475294952,118.43766531642868,265.19226121865046,500.0,0.0,500.0,500,500,64.66425586178255,12.71048298280707,68.42053628897273,40.20252262836725,78.97435696101908,11295.539521484376,5.644760555826653,11296.2763671875,11283.4326171875,11303.6748046875,18.43507200717926,18.988704625911733,11.689455032348633,3.619873046875,105.32450866699219,0.16773939061444254,0.190696696103653,0.07320687174797058,0.007387458812445402,0.6470662355422974,20.14881054878235,8.461258153921236,19.475356101989746,8.191065788269043,42.18342971801758,11303.617646484376,0.5748209210876356,11303.60009765625,11302.158203125,11305.3623046875,-11.10519886493683,5.316775185065738,-9.928471088409424,-22.672788619995117,-4.267070770263672,3.027042074203491,0.2620569001652594,3.0006940364837646,2.5401251316070557,3.6521406173706055,35.65922466278076,1.2705530731568524,36.50612831115723,33.49858093261719,36.5820426940918,30.221592903137207,1.947625562485607,29.404568672180176,26.34760284423828,33.39311981201172,3.001052658557892,0.010473820406651582,3.0,3.0,3.1052658557891846,1.0047859561443329,0.011900859764469324,1.0047622323036194,0.9759159684181213,1.032321810722351,11302.312734375,0.5724206727885902,11302.28662109375,11300.8779296875,11304.04296875,0.0,0.0,0.0,0.0,0.0
2,8000,7999,416.9294226169586,8000,16,0,7.870586019485926,0.0,0.0,0.0,500.0,0.0,500.0,500,500,192.7691596716408,43.23563624462691,194.04018790184978,118.43766531642868,265.19226121865046,500.0,0.0,500.0,500,500,61.74346160642126,14.180588803283863,65.29493085701039,40.20252262836725,78.97435696101908,11268.079921875,7.252202682949342,11267.12744140625,11258.00390625,11282.0498046875,21.07501743555069,12.668863060986851,19.503262519836426,3.0471580028533936,60.70645523071289,0.006702801764477045,0.0037197845994012095,0.006445769919082522,0.0021856380626559258,0.02351268194615841,16.71811762213707,10.293427059743188,16.11930513381958,1.7985118627548218,40.283756256103516,11302.1228125,0.6414046608536952,11302.1083984375,11300.5263671875,11303.7626953125,-36.45555477142334,6.911076392597825,-37.14785575866699,-44.92866897583008,-23.076705932617188,2.41273069024086,0.2813385225715567,2.405310273170471,1.8295313119888306,3.1767048835754395,30.16125997543335,2.653509133354682,28.762011528015137,27.343486785888672,33.52804183959961,26.93476285934448,1.4987521205039729,27.16183376312256,23.276172637939453,28.91250228881836,3.000683150291443,0.006797259576413826,3.0,3.0,3.068315029144287,0.9942220342159271,0.012647165590072408,0.9925494492053986,0.9665894508361816,1.0517284870147705,11300.828505859376,0.6372043282240322,11300.81787109375,11299.2451171875,11302.4111328125,0.0,0.0,0.0,0.0,0.0
2,9000,8999,541.9579327106476,9000,18,0,7.998175770075635,0.0,0.0,0.0,500.0,0.0,500.0,500,500,187.46697112346953,43.4341424654423,180.17388064976552,118.43766531642868,265.19226121865046,500.0,0.0,500.0,500,500,59.60759653118228,14.676591115981275,59.59703633373404,40.20252262836725,78.97435696101908,11260.76380859375,3.5838870048613267,11260.26416015625,11254.1318359375,11267.6865234375,24.75827311038971,22.280301338098408,17.755170822143555,2.8096988201141357,110.33179473876953,0.006615699604153633,0.004223478781684063,0.006596340797841549,0.001535870716907084,0.016701173037290573,24.401233837604522,10.85054882643917,27.42975902557373,1.9136512279510498,42.3997917175293,11301.299580078125,0.5557699271510709,11301.32958984375,11299.580078125,11302.9755859375,-42.896334648132324,4.123074379042502,-43.149587631225586,-50.780006408691406,-36.37459945678711,2.360624785423279,0.766431102147966,2.0045655965805054,1.608129858970642,3.9875216484069824,26.83134647369385,1.6148267798939233,27.120086669921875,24.740177154541016,30.27593421936035,24.565992450714113,2.0937414726587322,24.883634567260742,19.863056182861328,27.10343360900879,3.0013071846961976,0.007610734033915402,3.0,3.0,3.0557076930999756,0.9902230232954026,0.012668788516002082,0.9885190725326538,0.9600669741630554,1.025278091430664,11300.009267578125,0.5506975344838051,11300.03662109375,11298.29296875,11301.6552734375,0.0,0.0,0.0,0.0,0.0
2,10000,9999,668.2773404121399,10000,20,0,7.9164399057595185,0.0,0.0,0.0,500.0,0.0,500.0,500,500,183.6104310840086,42.80328909075951,175.49261610762875,118.43766531642868,265.19226121865046,500.0,0.0,500.0,500,500,58.12696565748176,14.617866100115155,55.9486517764265,40.20252262836725,78.97435696101908,11271.7598828125,5.141776940637282,11271.23388671875,11260.890625,11288.9189453125,101.9402252817154,121.75808096241711,49.46976089477539,6.123600006103516,597.145263671875,0.1562717428104952,0.15181204045389257,0.12523796409368515,0.003503040876239538,0.6833955645561218,15.560455451011658,13.024119673603197,10.503971099853516,1.7905676364898682,57.35648727416992,11301.5000390625,3.013199831514646,11300.50341796875,11299.0009765625,11315.498046875,-31.897289867401124,2.9859734268861815,-30.92443084716797,-41.098411560058594,-26.762117385864258,2.157176574468613,0.7400371522886217,1.880282998085022,1.375799298286438,4.754205703735352,25.13397804260254,2.731707094496781,26.181869506835938,16.029088973999023,27.213396072387695,21.851914720535277,3.3971950579048675,22.23650074005127,14.720848083496094,26.670724868774414,3.0168099546432496,0.07434386281793179,3.0,3.0,3.408033847808838,0.9771895158290863,0.010814030405607912,0.975466400384903,0.9586232304573059,1.0184180736541748,11300.221181640625,3.0118500653287783,11299.22802734375,11297.7392578125,11314.212890625,0.0,0.0,0.0,0.0,0.0
